Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score,,Index Name,Country,Index Score
,Jamaica,0.264,,,Hungary,0.423,,,Qatar,0.348,,,Kuwait,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poland,0.256,,,Ukraine,0.416,,,Panama,0.342,,,Bulgaria,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Romania,0.256,,,Belarus,0.414,,,Ecuador,0.338,,,China,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colombia,0.255,,,Colombia,0.407,,,Lebanon,0.335,,,Brazil,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kenya,0.248,,,United Arab Emirates,0.401,,,Bosnia and Herzegovina,0.329,,,Colombia,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rwanda,0.215,,,Ecuador,0.397,,,Armenia,0.294,,,Albania,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indonesia,0.213,,,Slovak Republic,0.393,,,Colombia,0.293,,,Jordan,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mozambique,0.213,,,Kuwait,0.384,,,Mongolia,0.289,,,Romania,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malawi,0.211,,,Russian Federation,0.284,,,Kazakhstan,0.251,,,Brunei Darussalam,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vanuatu,0.21,,,Romania,0.272,,,Malaysia,0.237,,,Ecuador,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sri Lanka,0.205,,,Luxembourg,0.246,,,Oman,0.221,,,Tunisia,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malaysia,0.205,,,Thailand,0.192,,,Algeria,0.207,,,Malaysia,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brunei Darussalam,0.199,,,"Iran, Islamic Rep.",0.167,,,Brunei Darussalam,0.177,,,Bhutan,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bahamas, The",0.197,,,El Salvador,0.151,,,Sri Lanka,0.173,,,El Salvador,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Papua New Guinea,0.178,,,Mongolia,0.138,,,"Iran, Islamic Rep.",0.169,,,Belarus,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tanzania,0.172,,,Moldova,0.127,,,Brazil,0.164,,,Thailand,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bulgaria,0.122,,,Tunisia,0.103,,,Tunisia,0.154,,,Trinidad and Tobago,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ethiopia,0.107,,,Algeria,0.095,,,Moldova,0.153,,,Oman,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uganda,0.105,,,Nicaragua,0.094,,,Kyrgyz Republic,0.147,,,Lebanon,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philippines,0.103,,,Jordan,0.059,,,Morocco,0.146,,,Sri Lanka,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,0.08,,,Qatar,0.019,,,Jordan,0.099,,,Turkiye,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gabon,0.072,,,Mexico,0.015,,,Fiji,0.074,,,Jamaica,-0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guatemala,0.072,,,Malaysia,0.013,,,Dominican Republic,0.063,,,Russian Federation,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moldova,0.063,,,Morocco,0.005,,,Viet Nam,0.046,,,Ukraine,-0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dominican Republic,0.049,,,Oman,0.004,,,Mexico,0.038,,,Nicaragua,-0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Africa,0.036,,,Honduras,-0.003,,,El Salvador,0.012,,,Honduras,-0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serbia,0.026,,,Kazakhstan,-0.011,,,Belize,-0.025,,,Moldova,-0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zimbabwe,0.014,,,Afghanistan,-0.012,,,Nicaragua,-0.025,,,Morocco,-0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belize,-0.011,,,Kyrgyz Republic,-0.044,,,Azerbaijan,-0.049,,,Afghanistan,-0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ecuador,-0.012,,,Uzbekistan,-0.074,,,Uzbekistan,-0.067,,,Peru,-0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liberia,-0.038,,,Sri Lanka,-0.121,,,"Egypt, Arab Rep.",-0.07,,,Belize,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mexico,-0.041,,,Fiji,-0.141,,,Philippines,-0.112,,,Algeria,-0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peru,-0.047,,,Viet Nam,-0.141,,,Honduras,-0.118,,,Mongolia,-0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,El Salvador,-0.053,,,Tajikistan,-0.156,,,Russian Federation,-0.148,,,Uzbekistan,-0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Honduras,-0.054,,,Dominican Republic,-0.158,,,Tajikistan,-0.19,,,Suriname,-0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trinidad and Tobago,-0.063,,,Belize,-0.234,,,Bhutan,-0.212,,,Rwanda,-0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
