time,10Y2Y_Yield,US CLI,ISM New Orders,Building Permits,Consumer Confidence,PMI,4-Week MA Initial Unemployment Claims,SP500
3/1/83,0.816810868,-0.132438575,1.444263509,3.249671853,-1.446455334,0.68855607,0.491547466,1.679146514
4/1/83,1.001954665,0.322141909,1.257044165,3.785481201,-0.821164747,0.741521922,0.363965055,1.969330469
5/1/83,0.860374114,0.740314683,1.577991612,3.724984649,-0.504752643,1.076972315,0.478784187,2.290388979
6/1/83,0.795029245,1.098053605,1.644855663,4.648441318,-0.58762248,1.324146289,0.551960568,2.737194783
7/1/83,0.795029245,1.383419305,2.714680484,3.566512939,-0.54242075,2.401118605,0.71846701,2.63780696
8/1/83,0.871264926,1.596632882,2.420478659,4.213743653,-0.685559559,2.312842185,0.454747599,1.738614679
9/1/83,0.991063853,1.752434299,2.260004935,2.583666632,-0.760895775,2.206910482,0.512049682,1.760549938
10/1/83,1.230661708,1.856572144,2.607698002,2.446624925,-0.806097504,2.542360875,0.462160456,0.775117705
11/1/83,1.045517911,1.913026205,2.567579571,1.770993646,-0.670492316,2.824845417,0.412422152,0.63636921
12/1/83,1.056408722,1.923565279,3.316456946,1.01288024,-0.436950049,3.513401488,0.494018398,0.456975934
1/1/84,1.187098461,1.891211059,1.832075007,1.355968021,0.007533622,1.853804805,0.557654906,0.153770182
2/1/84,1.143535215,1.808225062,1.99254873,1.739167434,-0.19587416,1.995047076,0.569100271,-0.249529727
3/1/84,1.012845476,1.669374603,1.457636319,0.84033481,0.075336215,1.571320263,0.451506994,-0.377080461
4/1/84,1.012845476,1.480703066,1.765210955,0.664862599,-0.29381124,1.942081224,0.193983054,-0.802568819
5/1/84,0.991063853,1.263878198,1.230298545,0.213885097,-0.143138809,1.518354412,0.198674075,-1.094465934
6/1/84,0.729684375,1.036514256,1.404145078,0.126121477,-0.339012969,1.430077992,0.124501825,-1.194896662
7/1/84,0.370287593,0.821974083,0.548285221,-0.524799622,-0.256143132,1.076972315,0.116102566,-1.096315669
8/1/84,0.272270289,0.634481743,0.534912411,-0.529661117,-0.067802594,0.529658516,-0.156354941,-0.546332173
9/1/84,0.435632463,0.486418806,-0.374438688,-0.193939731,0.067802594,0,-0.235187488,-0.632790794
10/1/84,0.76235681,0.382649461,0.387811498,-0.652973447,-0.278743997,0.141242271,-0.397112142,-0.535835549
11/1/84,1.17620765,0.312929432,0.267456205,-0.074310183,-0.323945726,0.052965852,-0.284310138,-0.740603348
12/1/84,1.66629417,0.261265859,0.374438688,-0.003047311,-0.534887129,0.105931703,-0.066626342,-0.54546475
1/1/85,1.38313307,0.221320557,0.240710585,-0.425905374,-0.301344861,0.052965852,0.037709356,-0.007394165
2/1/85,1.361351446,0.183659949,0.240710585,-0.810942123,-0.474618157,-0.017655284,-0.097931247,0.336089057
3/1/85,1.328679012,0.152632325,-0.120355292,0.005748377,-0.474618157,-0.388416245,0.002352931,0.218412649
4/1/85,1.633621736,0.127353287,0.173846533,-0.312665114,-0.406815563,-0.317795109,-0.104549566,0.147132181
5/1/85,1.481150374,0.105095942,-0.066864051,-0.091128784,-0.617756966,-0.512003232,-0.038476284,1.003170705
6/1/85,1.720748228,0.086081389,0.093609672,-0.26785093,-0.263676754,-0.388416245,-0.014997751,0.960630436
7/1/85,1.698966605,0.062865946,0.334320257,0.284195473,-0.452017292,-0.370760961,0.107050769,1.053962223
8/1/85,1.437587127,0.042082597,0.240710585,0.900860886,-0.572555236,-0.406071529,-0.084301486,0.197871028
9/1/85,1.557386055,0.027342633,0.615149272,1.279372504,-0.595156101,-0.017655284,-0.114493335,-0.026249626
10/1/85,1.426696316,0.023215443,0.454675549,0.841857564,-0.873900098,0.158897555,-0.102045155,0.268519166
11/1/85,1.230661708,0.034270416,0.962842339,0.147864147,-0.685559559,0.353105677,-0.00558656,0.856163146
12/1/85,1.11086278,0.057559559,0.641894893,0.512263139,-0.459550913,0.123586987,0.051883501,1.029390918
1/1/86,1.187098461,0.076721512,0.895978288,0.558518913,-0.331479347,0.211863406,0.195221771,0.496570555
2/1/86,0.457414086,0.083207096,0.949469529,0.313229491,-0.308878483,0.176552839,0.159661429,0.960681098
3/1/86,0.511868144,0.07745851,0.601776462,0.152155585,-0.369147455,0.176552839,0.054813609,1.402307099
4/1/86,0.598994636,0.066403537,0.588403652,0.578033187,-0.286277618,-0.052965852,0.02284504,1.322138426
5/1/86,0.751465998,0.053432369,1.48438194,0.255296567,-0.39174832,0.600279651,0.027363129,1.291274598
6/1/86,0.588103825,0.029922127,0.708758944,0.213805465,-0.052735351,0.088276419,0.124961697,1.308232477
